AUC,OPT_ER,EER,Accuracy,TP,FP,TN,FN,FPR,TPR,Recall,Precision,F1_score,TPR_when_FPR0p10,TPR_when_FPR0p05,TPR_when_FPR0,FPR_when_TPR0p90,FPR_when_TPR0p95,FPR_when_TPR1p00,HL_test,model_type,model_name
0.721619897959184,0.757062146892655,0.757062146892655,0.694915254237288,17,22,106,32,0.171875,0.346938775510204,0.346938775510204,0.435897435897436,0.386363636363636,0.29,0.24,0.06,0.55,0.78,1,2.24220642053297e-12,Logistic_Regression,Success_given_idea_member_crowd_nomination
0.716677295918368,0.751412429378531,0.751412429378531,0.694915254237288,16,21,107,33,0.1640625,0.326530612244898,0.326530612244898,0.432432432432432,0.372093023255814,0.31,0.2,0.12,0.62,0.73,1,1.18872278687121e-09,Logistic_Regression,Success_given_idea_member_crowd
0.651785714285715,0.728813559322034,0.728813559322034,0.672316384180791,17,26,102,32,0.203125,0.346938775510204,0.346938775510204,0.395348837209302,0.369565217391304,0.24,0.12,0.04,0.66,0.74,1,0.152657340016274,Logistic_Regression,Success_given_idea_crowd
0.609215561224489,0.72316384180791,0.72316384180791,0.68361581920904,17,24,104,32,0.1875,0.346938775510204,0.346938775510204,0.414634146341463,0.377777777777778,0.24,0.08,0,0.8,0.89,0.92,0.0654277725377325,Logistic_Regression,Success_given_member_crowd
0.543048469387755,0.72316384180791,0.72316384180791,0.468926553672316,41,86,42,8,0.671875,0.836734693877551,0.836734693877551,0.322834645669291,0.465909090909091,0.08,0,0,0.78,0.8,0.92,4.35649837315921e-06,Logistic_Regression,Success_given_crowd
0.629027401385125,0.706214689265537,0.706214689265537,0.694915254237288,19,19,104,35,0.154471544715447,0.351851851851852,0.351851851851852,0.5,0.41304347826087,0.24,0.15,0,0.79,0.84,1,0.00133007344219005,Logistic_Regression,Nomination_given_idea_member_crowd
0.579945799457995,0.72316384180791,0.72316384180791,0.621468926553672,24,37,86,30,0.300813008130081,0.444444444444444,0.444444444444444,0.39344262295082,0.417391304347826,0.22,0.19,0,0.87,0.95,1,0.0421579399442779,Logistic_Regression,Nomiantion_given_idea_crowd
0.579945799457994,0.700564971751412,0.700564971751412,0.689265536723164,14,15,108,40,0.121951219512195,0.259259259259259,0.259259259259259,0.482758620689655,0.337349397590361,0.17,0.13,0,0.85,0.92,1,0.0837435183344489,Logistic_Regression,Nomination_given_member_crowd
0.538693164709425,0.700564971751412,0.700564971751412,0.446327683615819,33,77,46,21,0.626016260162602,0.611111111111111,0.611111111111111,0.3,0.402439024390244,0.13,0.13,0.02,0.89,0.89,0.96,1.82033287721151e-06,Logistic_Regression,Nomination_given_crowd
0.629120879120879,0.88135593220339,0.88135593220339,0.813559322033898,4,16,140,17,0.102564102564103,0.19047619047619,0.19047619047619,0.2,0.195121951219512,0.24,0.1,0,0.72,1,1,0,Logistic_Regression,NominationandSuccess_given_idea_member_crowd
